track_uri,track_name,album,artist_name,track_pop,year,language,link
spotify:track:2iXcvnD3d1gfLBum0cE5Eg,Tutti Frutti,Here's Little Richard (Deluxe Edition),Little Richard,63,1950,english,https://open.spotify.com/track/spotify:track:2iXcvnD3d1gfLBum0cE5Eg?si=b0d970dc39ca4da1&nd=1
spotify:track:1pZn8AX1WulW8IO338hE5D,Blue Moon,Solitude,Billie Holiday,63,1950,english,https://open.spotify.com/track/spotify:track:1pZn8AX1WulW8IO338hE5D?si=b0d970dc39ca4da1&nd=1
spotify:track:66iKqUazBbTlAEjcZrpDkD,What A Diff'rence A Day Made,What A Diff'rence A Day Makes! (Expanded Edition),Dinah Washington,63,1950,english,https://open.spotify.com/track/spotify:track:66iKqUazBbTlAEjcZrpDkD?si=b0d970dc39ca4da1&nd=1
spotify:track:47gmoUrZV3w20JAnQOZMcO,Blue Suede Shoes,Elvis Presley,Elvis Presley,64,1950,english,https://open.spotify.com/track/spotify:track:47gmoUrZV3w20JAnQOZMcO?si=b0d970dc39ca4da1&nd=1
spotify:track:5P11rW6aJErF37MTfRZS31,"Hallelujah, I Love Her So","Ray Charles (aka: Hallelujah, I Love Her So)",Ray Charles,63,1950,english,https://open.spotify.com/track/spotify:track:5P11rW6aJErF37MTfRZS31?si=b0d970dc39ca4da1&nd=1
spotify:track:1uRKT2LRANv4baowBWHfDS,(We're Gonna) Rock Around The Clock,Rock Around The Clock,Bill Haley & His Comets,63,1950,english,https://open.spotify.com/track/spotify:track:1uRKT2LRANv4baowBWHfDS?si=b0d970dc39ca4da1&nd=1
spotify:track:4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,Chet Baker Sings,Chet Baker,64,1950,english,https://open.spotify.com/track/spotify:track:4l9hml2UCnxoNI3yCdL1BW?si=b0d970dc39ca4da1&nd=1
spotify:track:2WaYW84yWij5NSCpgSeU2R,You Make Me Feel So Young - Remastered 1998,Songs For Swingin' Lovers! (Remastered),Frank Sinatra,63,1950,english,https://open.spotify.com/track/spotify:track:2WaYW84yWij5NSCpgSeU2R?si=b0d970dc39ca4da1&nd=1
spotify:track:0QGwOFQChzflLAmPq5NwKo,A Teenager In Love,Presenting Dion And The Belmonts,Dion & The Belmonts,63,1950,english,https://open.spotify.com/track/spotify:track:0QGwOFQChzflLAmPq5NwKo?si=b0d970dc39ca4da1&nd=1
spotify:track:39lnzOIUCSNaQmgBHoz7rt,Everyday,Buddy Holly,Buddy Holly,63,1950,english,https://open.spotify.com/track/spotify:track:39lnzOIUCSNaQmgBHoz7rt?si=b0d970dc39ca4da1&nd=1
spotify:track:5TNpCThzzXHEipXGKgNG8T,Cheek To Cheek,Ella and Louis,Ella Fitzgerald,62,1950,english,https://open.spotify.com/track/spotify:track:5TNpCThzzXHEipXGKgNG8T?si=b0d970dc39ca4da1&nd=1
spotify:track:507IFqPuG8mBQoKebfGG9t,Long Tall Sally (The Thing),Here's Little Richard (Deluxe Edition),Little Richard,62,1950,english,https://open.spotify.com/track/spotify:track:507IFqPuG8mBQoKebfGG9t?si=b0d970dc39ca4da1&nd=1
spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn,Come Fly With Me - Remastered 1998,Come Fly With Me (Expanded Edition),Frank Sinatra,62,1950,english,https://open.spotify.com/track/spotify:track:4hHbeIIKO5Y5uLyIEbY9Gn?si=b0d970dc39ca4da1&nd=1
spotify:track:06PdA0DLgF4BfAeUNZAbFG,Blueberry Hill,Fats Domino Swings,Fats Domino,61,1950,english,https://open.spotify.com/track/spotify:track:06PdA0DLgF4BfAeUNZAbFG?si=b0d970dc39ca4da1&nd=1
spotify:track:58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,King Of The Electric Blues,Muddy Waters,61,1950,english,https://open.spotify.com/track/spotify:track:58PSYdY0GFg0LFb2PxYk4T?si=b0d970dc39ca4da1&nd=1
spotify:track:79nJj5dMyTsUzKvN5jUXsJ,I Can't Stop Loving You,"Modern Sounds in Country and Western Music, Vols 1 & 2",Ray Charles,61,1950,english,https://open.spotify.com/track/spotify:track:79nJj5dMyTsUzKvN5jUXsJ?si=b0d970dc39ca4da1&nd=1
spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,Donna - Single Version,Ritchie Valens,Ritchie Valens,60,1950,english,https://open.spotify.com/track/spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv?si=b0d970dc39ca4da1&nd=1
spotify:track:3E5ndyOfO6vFDEIE42HA8o,Mack the Knife,That's All,Bobby Darin,59,1950,english,https://open.spotify.com/track/spotify:track:3E5ndyOfO6vFDEIE42HA8o?si=b0d970dc39ca4da1&nd=1
